Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current education level,Fluent languages,Subject,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64a1ba6c3c2f0ba6f2f69381,5e39f60c9c7717210df33e68,APPROVED,2023-07-02T17:57:04.998000Z,2023-07-02T18:06:14.950000Z,2023-07-02T18:59:36.957000,2023-07-02T18:06:15.365848Z,550,CACDZOAC,194,Undergraduate degree (BA/BSc/other),"Greek, English",Engineering,24,Female,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
64a1ba7f1242bbff0eb8930f,612bef062e4e035e081ba009,APPROVED,2023-07-02T17:57:26.128000Z,2023-07-02T18:09:56.753000Z,2023-07-02T18:47:27.229000,2023-07-02T18:09:57.520787Z,751,CACDZOAC,72,Undergraduate degree (BA/BSc/other),English,"Chemistry, Education, Law",33,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
64a1ba9b98e490682e8d8bc5,63d7ab31b392696900786d31,APPROVED,2023-07-02T17:58:17.403000Z,2023-07-02T18:07:00.833000Z,2023-07-03T07:02:43.650000,2023-07-02T18:07:01.423996Z,524,CACDZOAC,1040,Undergraduate degree (BA/BSc/other),English,Computer Science,18,Female,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED
64a1bad5d64c3406c528e3d1,5f3ec6221b5af3158bc86acd,APPROVED,2023-07-02T17:58:48.849000Z,2023-07-02T18:08:38.188000Z,2023-07-02T18:59:37.149000,2023-07-02T18:08:38.706520Z,590,CACDZOAC,1308,Undergraduate degree (BA/BSc/other),"Twi, English","Art and/or design, Engineering",21,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
64a1baf7b15f492c2206127f,60db8f99cfcb1b050dbc66b5,APPROVED,2023-07-02T17:59:19.515000Z,2023-07-02T18:10:28.527000Z,2023-07-02T18:47:27.484000,2023-07-02T18:10:31.634400Z,670,CACDZOAC,144,Undergraduate degree (BA/BSc/other),"English, Portuguese","Computer Science, Management",20,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Other
64a1bb0f2005b4746d253534,614b6e4a03ded5acfe2ef9b0,APPROVED,2023-07-02T17:59:43.281000Z,2023-07-03T07:08:03.650000Z,2023-07-03T07:08:03.836000Z,,47301,Manual Completion,234,Undergraduate degree (BA/BSc/other),"English, Spanish",Computer Science,23,Male,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
64a1bb3ec4c227acdb760def,5febbfa2a4d824cf3d607196,APPROVED,2023-07-02T18:00:44.962000Z,2023-07-02T18:12:37.692000Z,2023-07-02T18:47:27.713000,2023-07-02T18:12:42.017853Z,713,CACDZOAC,424,Undergraduate degree (BA/BSc/other),"French, English, German, Portuguese",Engineering,20,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
64a1bb80cf433ed56c15c7f5,61143239ca74fd7541bd8399,APPROVED,2023-07-02T18:03:15.777000Z,2023-07-02T18:27:34.104000Z,2023-07-02T18:47:27.917000,2023-07-02T18:27:34.678250Z,1459,CACDZOAC,66,Undergraduate degree (BA/BSc/other),"English, Afrikaans","Engineering, Science, Mathematics, Business, Chemistry",22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Other
64a1bbaa10a041a8e7232267,605b97aaa192ff6f9e2565ed,APPROVED,2023-07-02T18:02:18.429000Z,2023-07-02T18:11:02.423000Z,2023-07-03T07:02:43.827000,2023-07-02T18:11:02.988105Z,524,CACDZOAC,199,Undergraduate degree (BA/BSc/other),"Polish, English",Computer Science,22,Male,White,Poland,Poland,Poland,Polish,Yes,Other
64a1bbafd75096d2a0aa68f7,6115a6e84663126fdc265e17,APPROVED,2023-07-02T18:02:27.157000Z,2023-07-02T18:18:32.380000Z,2023-07-02T18:47:28.091000,2023-07-02T18:18:32.821210Z,966,CACDZOAC,160,Undergraduate degree (BA/BSc/other),"English, Italian","Engineering, Materials Science, Chemistry",23,Female,White,Italy,Italy,Italy,Italian,Yes,Other
